,Change from last real stockval t-30 days
NFLX,54.356572265625005
ADBE,48.24623779296877
VRTX,43.475741577148426
ZEN,16.51484436035156
VIAC,16.026930475234984
NOW,11.259920654296877
TER,7.393830871582033
ILTB,6.84040924072265
W,3.4534637451171903
IXUS,2.028323211669921
ALL,1.7285443115234358
T,1.5974773406982408
VZ,1.1958464050293003
URI,0.09461914062499943
CTRE,-0.44031326293945305
DIS,-1.3973312377929688
BTI,-1.5857525634765608
VTI,-2.3507403564453
TERP,-2.9728655242919935
CVS,-3.78629913330078
VEEV,-3.980099487304699
NVO,-4.296930236816408
AAXN,-4.643937377929689
ETN,-4.748646850585942
BEP,-5.744035034179689
NEE,-10.42585510253906
FDX,-12.922454833984375
IRBT,-13.509669494628909
STZ,-18.20406555175782
ALB,-18.49036590576172
MSFT,-18.494971923828132
ALXN,-20.424698181152337
ENPH,-33.35620178222656
NVDA,-46.61965454101562
AZO,-47.11693847656261
GOOGL,-48.34542480468758
AMZN,-254.16661132812487
